iter	RMSE
179	0.8557048931
180	0.8533508897
181	0.8508994737
182	0.849542091
183	0.8477301899
184	0.8465904773
185	0.8452230645
186	0.8429570128
187	0.8394734629
188	0.835756621
189	0.8321658049
190	0.8308844146
191	0.8281829586
192	0.8267821072
193	0.8239414633
194	0.8229261083
195	0.8206125999
196	0.8186842737
197	0.8152615273
198	0.8136948491
199	0.8110767136
200	0.8091208846
201	0.8078829758
202	0.805375369
203	0.8022189434
204	0.7994808296
205	0.7968857842
206	0.7948842003
207	0.7929788635
208	0.7911953027
209	0.7891223586
210	0.7882070067
211	0.7858012141
212	0.7833878062
213	0.7820535051
214	0.7809262651
215	0.7783478328
216	0.7762012642
217	0.7739887058
218	0.7723823424
219	0.7695954685
220	0.7682118759
221	0.766346239
222	0.7644112227
223	0.7626150388
224	0.7613849793
225	0.7598074835
226	0.7566115168
227	0.7553093815
228	0.7527234092
229	0.7510929434
230	0.749094631
231	0.7478796938
232	0.7456550649
233	0.7441203389
234	0.7430006691
235	0.7412154671
236	0.7398336036
237	0.7379386538
238	0.7355031955
239	0.7339734396
240	0.7323659456
241	0.7300436921
242	0.7285543886
243	0.7264652415
244	0.724055747
245	0.7223897203
246	0.7199658936
247	0.7188385638
248	0.7164148013
249	0.7147236806
250	0.7125269829
251	0.7110111459
252	0.7080730917
253	0.7066016868
254	0.7056158284
255	0.703912927
256	0.7031618102
257	0.7010750484
258	0.7000201661
259	0.6989670863
260	0.697626991
261	0.695922093
262	0.6949343842
263	0.6938695542
264	0.69306761
265	0.6915028294
266	0.6900591019
267	0.6889467425
268	0.6882970192
269	0.6870666205
270	0.686115519
271	0.686069153
272	0.6850585975
273	0.6832676638
274	0.682511849
275	0.6802541412
276	0.6784429779
277	0.6776123858
278	0.6769763554
279	0.6752327347
280	0.6735409283
281	0.6723451674
282	0.6705536146
283	0.6690971592
284	0.6681154494
285	0.6669361653
286	0.6669216368
287	0.6659971924
288	0.6653512881
289	0.6644498873
290	0.6624950457
291	0.6613501892
292	0.660288168
293	0.6582292236
294	0.6572342058
295	0.6563199259
296	0.6556830781
297	0.6540239432
298	0.6534259469
299	0.6524935569
300	0.6508769839
301	0.6495897028
302	0.6484293033
303	0.6471728666
304	0.646267794
305	0.6456242774
306	0.6438287689
307	0.6431080181
308	0.642368845
309	0.640581384
310	0.6394494494
311	0.6384538233
312	0.6370052201
313	0.6359103454
314	0.6337576161
315	0.6326620234
316	0.6316152818
317	0.6308156129
318	0.6298203078
319	0.6290829579
320	0.6275324005
321	0.6268008801
322	0.6256695112
323	0.6246568235
324	0.6237436396
325	0.6229465276
326	0.6217835654
327	0.6205911986
328	0.6197766327
329	0.6188333651
330	0.6177610117
331	0.6162413442
332	0.6155105648
333	0.6142347364
334	0.6136820997
335	0.6128296148
336	0.6115659988
337	0.6105947285
338	0.6097282456
339	0.6091026156
340	0.608268085
341	0.6070072028
342	0.6062858515
343	0.6051104792
344	0.6040271811
345	0.6028825641
346	0.6017882268
347	0.601785097
348	0.6011173011
349	0.6000155074
350	0.5989873938
351	0.5982309695
352	0.5971569828
353	0.5959421506
354	0.5943862989
355	0.5935509581
356	0.5929917989
357	0.5922937064
358	0.5917696046
359	0.5906380113
360	0.5898035228
361	0.589453346
362	0.5891633941
363	0.588435893
364	0.5880043263
365	0.5872138811
366	0.5860856555
367	0.5853487403
368	0.584848371
369	0.5843058284
370	0.583342595
371	0.5827540564
372	0.5817066375
373	0.5808479655
374	0.5799238057
375	0.579906944
376	0.5791685947
377	0.5788387858
378	0.5781400172
379	0.5771913217
380	0.5767632123
381	0.575999248
382	0.5749430754
383	0.5745945544
384	0.5735932907
385	0.5731609652
386	0.5726444735
387	0.5720405016
388	0.5712773032
389	0.5706544788
390	0.5696756437
391	0.5689288664
392	0.5676280308
393	0.5668355969
394	0.5659110059
395	0.5652688468
396	0.564136269
397	0.5632379759
398	0.562552061
399	0.5617998577
400	0.5600927587
401	0.5600769205
402	0.5589937046
403	0.5583999849
404	0.557825641
405	0.5574257048
406	0.5574181923
407	0.5568974634
408	0.5568381426
409	0.5563005371
410	0.5559002505
411	0.5554650393
412	0.554843823
413	0.5540031366
414	0.5535799706
415	0.5525091446
416	0.5515549197
417	0.5506307339
418	0.5498888495
419	0.5492725471
420	0.5483710894
421	0.5476426341
422	0.5466802236
423	0.5462190187
424	0.5453401009
425	0.5449822399
426	0.5441885297
427	0.5434284433
428	0.5428080455
429	0.5422300748
430	0.5418729628
431	0.541336222
432	0.5406560352
433	0.5402608615
434	0.5394788511
435	0.5387982716
436	0.5383852188
437	0.5374693932
438	0.5368548693
439	0.5360942697
440	0.5356230559
441	0.5352009353
442	0.5347445678
443	0.5340166078
444	0.5337110383
445	0.5329969137
446	0.5324380606
447	0.5324200939
448	0.5318485749
449	0.5314184566
450	0.5314084487
451	0.5313957
452	0.5310775646
453	0.5300824239
454	0.5296172983
455	0.5289453662
456	0.5286317322
457	0.5277367373
458	0.5272439852
459	0.5267234898
460	0.5258601581
461	0.5254398333
462	0.5248234169
463	0.5240704738
464	0.5237118395
465	0.5229498597
466	0.5226568833
467	0.5218177253
468	0.5213968907
469	0.5208157025
470	0.5203159833
471	0.5197524901
472	0.5189638314
473	0.5181464053
474	0.5176547043
475	0.5175203285
476	0.5168336459
477	0.5164319635
478	0.5156412384
479	0.5151084459
480	0.5142600462
481	0.5134636969
482	0.5128486635
483	0.5122475565
484	0.5115551263
485	0.5107490783
486	0.5102581299
487	0.5098639277
488	0.5091366249
489	0.5087020232
490	0.5083819004
491	0.5080472423
492	0.5077282713
493	0.5072824994
494	0.5069585557
495	0.5069462743
496	0.5063932649
497	0.5057728107
498	0.505262738
499	0.504699933
500	0.5041323826
501	0.5035406374
502	0.5028540938
503	0.5024627124
504	0.5018549165
505	0.5017467385
506	0.5015270054
507	0.5011015082
508	0.5007904154
509	0.5001925151
510	0.5001300814
511	0.4994661364
512	0.4987691624
513	0.498149923
514	0.4976849631
515	0.4971237636
516	0.4966274762
517	0.4960719404
518	0.4958144177
519	0.49499068
520	0.4946778059
521	0.4943714734
522	0.4937353416
523	0.4931199823
524	0.4926015342
525	0.4923134538
526	0.4917075797
527	0.4911804656
528	0.4906643713
529	0.4903095625
530	0.4899546297
531	0.4899531667
532	0.4893699888
533	0.4891333117
534	0.4888677741
535	0.4882173735
536	0.4874314254
537	0.4874241478
538	0.486935066
539	0.4862424218
540	0.4856049156
541	0.485080525
542	0.4843474779
543	0.4838640675
544	0.483344084
545	0.4829665161
546	0.482934459
547	0.4823400181
548	0.4820594254
549	0.4817461049
550	0.4814044527
551	0.4810594969
552	0.4808245592
553	0.4805320521
554	0.4799002515
555	0.4791534832
556	0.4786498172
557	0.4781366199
558	0.4777223094
559	0.4770728978
560	0.4767442594
561	0.4767320147
562	0.4761608367
563	0.4759110331
564	0.475669705
565	0.4752779882
566	0.4748628907
567	0.4747681589
568	0.4742258674
569	0.4740462352
570	0.4736284386
571	0.4733377338
572	0.4729783911
573	0.4729681402
574	0.4726111478
575	0.4726096476
576	0.4718099693
577	0.4712759821
578	0.470940878
579	0.4705759278
580	0.4701088255
581	0.4696215395
582	0.4692038363
583	0.4688890468
584	0.468254391
585	0.4677008962
586	0.4672437606
587	0.4668754558
588	0.4663572482
589	0.4659874894
590	0.4654376219
591	0.4647534547
592	0.4644543115
593	0.463918842
594	0.4636906128
595	0.4634564631
596	0.4628908865
597	0.4625214697
598	0.4619141649
599	0.4615143967
600	0.4607924558
601	0.460151234
602	0.4598277272
603	0.4592050057
604	0.4587465932
605	0.4584845788
606	0.4580695709
607	0.4576969498
608	0.4575839251
609	0.4573922268
610	0.4571769646
611	0.4568212151
612	0.4562618003
613	0.4559309738
614	0.4556330324
615	0.4553991197
616	0.4549718335
617	0.4546560768
618	0.4543008475
619	0.4536601605
620	0.4532983612
621	0.4530677811
622	0.4527430421
623	0.4527286887
624	0.4523431234
625	0.4519871419
626	0.4518731418
627	0.4516103126
628	0.4510916148
629	0.4505652041
630	0.4505461389
631	0.4503448863
632	0.4499016059
633	0.449637203
634	0.4491692314
635	0.4488456146
636	0.4484620189
637	0.4478750495
638	0.4473822629
639	0.447025323
640	0.4467014455
641	0.4466717351
642	0.4463353158
643	0.4460515844
644	0.4457288369
645	0.4457084808
646	0.445151311
647	0.4448676111
648	0.4444164017
649	0.4442659047
650	0.4439569583
651	0.4439130616
652	0.4437457454
653	0.4436459162
654	0.4433585647
655	0.4431496705
656	0.4427400775
657	0.4422647837
658	0.4418877347
659	0.4414893526
660	0.4411929733
661	0.4408937455
662	0.4403843269
663	0.4403580558
664	0.4401406222
665	0.4395314762
666	0.4390656857
667	0.4386603704
668	0.4384534081
669	0.4381606833
670	0.437862575
671	0.4378080172
672	0.4375720685
673	0.4372652818
674	0.4370695478
675	0.436807338
676	0.4360881206
677	0.435595228
678	0.4352310713
679	0.4347142317
680	0.4340177212
681	0.433754727
682	0.4335885361
683	0.4328766436
684	0.4324522078
685	0.4320969001
686	0.431725945
687	0.4314115172
688	0.4309188559
689	0.4306131403
690	0.4300154367
691	0.4294294228
692	0.4291792732
693	0.4288881061
694	0.4284469238
695	0.4281976887
696	0.4277938901
697	0.4275890075
698	0.4273153412
699	0.4272150661
700	0.4268280205
701	0.4265605813
702	0.4264912093
703	0.4264558863
704	0.4262892126
705	0.4258124024
706	0.4255658377
707	0.4252704281
708	0.4250940176
709	0.4247123152
710	0.4241750998
711	0.4239250956
712	0.4237323112
713	0.4232846034
714	0.4228281903
715	0.4224498743
716	0.4221150161
717	0.421657958
718	0.4212559834
719	0.4208363974
720	0.4204566224
721	0.4200482006
722	0.4197664025
723	0.4195286409
724	0.4192611765
725	0.4188177911
726	0.4185191605
727	0.4180759312
728	0.4177710849
729	0.417714094
730	0.4177057902
731	0.4172243727
732	0.4168880324
733	0.4166057657
734	0.4162222098
735	0.4159246387
736	0.4157537974
737	0.4153509791
738	0.4149909083
739	0.4149708869
740	0.4145412431
741	0.4144889347
742	0.4139057479
743	0.4133758957
744	0.4131268574
745	0.412858377
746	0.4125403192
747	0.4121599101
748	0.4117812065
749	0.4113887671
750	0.4113187774
751	0.4111875543
752	0.4109236825
753	0.4107765341
754	0.4104651296
755	0.4100529428
756	0.4097485257
757	0.4094530977
758	0.4092500847
759	0.4089359707
760	0.4084115738
761	0.4081595745
762	0.4077311399
763	0.4074727098
764	0.4071524976
765	0.4065635604
766	0.4064071501
767	0.4063779484
768	0.4058352557
769	0.4056714622
770	0.4053657507
771	0.404896439
772	0.404834758
773	0.4045932764
774	0.4045019026
775	0.4042191895
776	0.4040890893
777	0.4037334332
778	0.4033876559
779	0.4030691277
780	0.4028006498
781	0.4027891564
782	0.4025634435
783	0.4022942029
784	0.4018332802
785	0.4014304634
786	0.4010663249
787	0.4006280221
788	0.4002716926
789	0.4000420066
790	0.3999226265
791	0.3997003383
792	0.3994750188
793	0.3990524167
794	0.3989452888
795	0.3986033829
796	0.3985350586
797	0.3984366001
798	0.3979639223
799	0.3975051508
800	0.3970648994
801	0.396776551
802	0.3961662192
803	0.3956252509
804	0.3952549389
805	0.3949162334
806	0.3946910111
807	0.3942071348
808	0.3941619276
809	0.3938943971
810	0.3935391106
811	0.3933417527
812	0.3931221525
813	0.3927625663
814	0.3926116613
815	0.39234409
816	0.3920269019
817	0.3917244445
818	0.3913895819
819	0.3911795226
820	0.3909636401
821	0.3906097194
822	0.3902463081
823	0.3899453912
824	0.3896317894
825	0.3893018953
826	0.388939568
827	0.3887641577
828	0.3886144361
829	0.3883672185
830	0.38814608
831	0.387934852
832	0.3877253993
833	0.3872408147
834	0.3869310103
835	0.3863333888
836	0.3860519265
837	0.3857855703
838	0.3853392698
839	0.3850002385
840	0.384715698
841	0.3845818637
842	0.3841652227
843	0.3838572781
844	0.3834784804
845	0.3833340256
846	0.3831033998
847	0.3830293974
848	0.382711025
849	0.3825162831
850	0.3824910647
851	0.3824200496
852	0.3820270496
853	0.3818647428
854	0.3816172705
855	0.3814703988
856	0.3812687656
857	0.3810026021
858	0.3809622039
859	0.3807506314
860	0.3804982388
861	0.3802195125
862	0.3801379574
863	0.3799730902
864	0.3794079036
865	0.3792335759
866	0.3790504517
867	0.37859439
868	0.3784707143
869	0.3782626046
870	0.3781259108
871	0.377921817
872	0.3778347123
873	0.3775626902
874	0.3772718742
875	0.3770348746
876	0.3765276819
877	0.3763057011
878	0.3759380175
879	0.3757650214
880	0.3755618684
881	0.3753736549
882	0.3751664023
883	0.3748256064
884	0.3744443454
885	0.3741966444
886	0.3739885493
887	0.3735671436
888	0.3732999821
889	0.3731779918
890	0.3730077693
891	0.3728636411
892	0.3726735653
893	0.3725723628
894	0.3723517994
895	0.37204075
896	0.3718363927
897	0.3717520328
898	0.3715725027
899	0.3714320998
900	0.3712422776
901	0.3712063011
902	0.3708596897
903	0.3707128438
904	0.3705549759
905	0.3704141956
906	0.3703718017
907	0.3700063217
908	0.369747927
909	0.3694934256
910	0.3692415101
911	0.3692252919
912	0.3687902969
913	0.3684156794
914	0.3682736808
915	0.3679681181
916	0.3677472275
917	0.3675781067
918	0.3672319169
919	0.3671257363
920	0.3669476247
921	0.3667132694
922	0.3664582696
923	0.3663660685
924	0.3661484502
925	0.3659330169
926	0.3657362182
927	0.3655740597
928	0.3653670481
929	0.3652335844
930	0.3649536793
931	0.3647744744
932	0.36459638
933	0.3643876871
934	0.36425863
935	0.3641039957
936	0.3637111038
937	0.3633570855
938	0.36315013
939	0.3628818958
940	0.3625068807
941	0.3621782026
942	0.3620545722
943	0.3618426503
944	0.3613684668
945	0.3611846517
946	0.3608769514
947	0.3608738792
948	0.3607198165
949	0.3604985455
950	0.3603492269
951	0.3601374596
952	0.3599292217
953	0.3598767347
954	0.3595483364
955	0.3594077198
956	0.3591495126
957	0.3588679712
958	0.3586986554
959	0.3585821295
960	0.3583052689
961	0.3580888812
962	0.3576971737
963	0.357646446
964	0.3576259152
965	0.3573211473
966	0.3569989133
967	0.3567903617
968	0.3566129024
969	0.3562424014
970	0.3559911005
971	0.355782483
972	0.3555010184
973	0.3551845273
974	0.3550031394
975	0.3546742288
976	0.3545994186
977	0.3545982566
978	0.3542261922
979	0.35391967
980	0.353511146
981	0.3534963131
982	0.3532529707
983	0.3530396889
984	0.3526952391
985	0.3523720379
986	0.352066099
987	0.3517411278
988	0.3512625455
989	0.3510265833
990	0.3507153773
991	0.3503564563
992	0.3501495782
993	0.3499023672
994	0.3496174956
995	0.3493603685
996	0.348989555
997	0.3487543479
998	0.3484272399
999	0.3481738545
